node,community_id,strength
alejsdev,3,71.0
maxachis,3,14.0
kinuax,3,11.0
Malak993-lho,3,10.0
Taoup,3,10.0
ruzia,3,9.0
Ali-Parandeh,3,8.0
sneakers-the-rat,3,8.0
g7AzaZLO,3,6.0
SanjanaS10,3,5.0
bilgeyucel,3,5.0
mrlubos,3,5.0
yujiteshima,3,5.0
BLESSEDEFEM,3,4.0
Rayyan-Oumlil,3,4.0
adityagiri3600,3,4.0
ndimares,3,4.0
HUDA-GIF,3,3.0
KoyoMiyazaki,3,3.0
dhruvgoyal-ai,3,3.0
edwdev-oficial,3,3.0
fcharrier,3,3.0
bonastreyair,3,2.0
0xFazal,3,1.0
Adamowoc,3,1.0
Davis-3450,3,1.0
GeoSegun,3,1.0
Lali182k5,3,1.0
Sufyan-Ali,3,1.0
cureprotocols,3,1.0
gsheni,3,1.0
praffq,3,1.0
dolfinus,4,44.0
Ben-Brady,4,27.0
WrldEngine,4,11.0
Lob26,4,8.0
cardosource,4,6.0
berkkaradalan,4,4.0
gudwls215,4,4.0
xsismadn3ss,4,2.0
AleksaMCode,4,1.0
P-Muench,4,1.0
rhealakhotia,4,1.0
wbarnha,4,1.0
musicinmybrain,5,27.0
Kludex,5,12.0
edgarrmondragon,5,6.0
ollie-bell,5,6.0
FatimahAlhumaidhi,5,4.0
Tonkonozhenko,5,3.0
galah92,5,3.0
antbz,5,1.0
bforma,5,1.0
cgilviadee,5,1.0
jkugler,5,1.0
EgorOnishchuk,6,22.0
alv2017,6,12.0
iamantonreznik,6,4.0
saltnepperson,6,4.0
Rishat-F,6,2.0
gitgernit,6,2.0
uriyyo,6,2.0
wisderfin,6,2.0
Tishka17,6,1.0
valentinDruzhinin,7,54.0
DianaTrufanova,7,16.0
mezgoodle,7,10.0
jomkv,7,9.0
ykertytsky,7,5.0
Lancetnik,7,4.0
SofiiaTrufanova,7,4.0
killerdevildog,7,2.0
Shihasz,7,1.0
sodaMelon,8,33.0
sungchan1,8,32.0
isgin01,8,9.0
Amogha-ark,8,7.0
gayuna,8,5.0
Zerohertz,8,4.0
leerob,9,7.0
JefferyHus,9,3.0
yezz123,9,2.0
rauchg,9,1.0
SakibSibly,10,8.0
Azazul123,10,4.0
TahmidMuntaser,10,2.0
nomanstine,10,2.0
cstruct,11,10.0
stickm4n,11,10.0
mwildehahn,11,1.0
nsoranzo,11,1.0
Charisn,12,8.0
Cybernetic-Ransomware,12,4.0
dev4all,12,2.0
Joab0,13,8.0
ibrahimpelumi6142,13,8.0
BastienGimbert,13,5.0
Mohammad222PR,14,6.0
AbolfazlKameli,14,4.0
ashyls,14,1.0
mohiuddin-khan-shiam,15,5.0
Pavanmanikanta98,15,1.0
hozn,15,1.0
sajjadrahman56,16,10.0
syedasamina56,16,6.0
fatemajannat9,16,3.0
yogishhg9964,17,4.0
HamzaYslmn,17,1.0
pythonweb2,17,1.0
sankarebarri,18,5.0
MaxwellEnemuo,18,2.0
ErickMoraL,19,1.0
albakore,19,1.0
amin-abbasiy,20,5.0
iw4p,20,3.0
ChunkyTortoise,21,4.0
chatgpt-codex-connector,21,2.0
emmanuel-ferdman,22,10.0
schneebuzz,22,10.0
grantjenks,23,3.0
jogo-openai,23,2.0
t4f1d,24,5.0
guspan-tanadi,24,2.0
Flosckow,25,3.0
kumaranvpl,25,2.0
jeannin,26,2.0
odiseo0,26,1.0
subhashdasyam,27,11.0
SadManFahIm,27,10.0
saimahesh8752,28,6.0
Harshpatil0508,28,2.0
