node,strength,degree,betweenness,strength_rank,betweenness_rank,is_core_strength,is_bridge_betweenness,is_bridge_and_core
AbolfazlKameli,2.0,1,0.0,176,133,False,False,False
Azazul123,2.0,1,0.0,176,133,False,False,False
BLESSEDEFEM,2.0,1,0.0,176,133,False,False,False
BillionClaw,2.0,2,0.0,176,133,False,False,False
Cybernetic-Ransomware,2.0,1,0.0,176,133,False,False,False
KoyoMiyazaki,2.0,1,0.0,176,133,False,False,False
KrzysztofCzapla,2.0,1,0.0,176,133,False,False,False
Lancetnik,2.0,1,0.0,176,133,False,False,False
MinLee0210,2.0,1,0.0,176,133,False,False,False
Ricky512227,2.0,1,0.0,176,133,False,False,False
SSOBHY2,2.0,1,0.0,176,133,False,False,False
SofiiaTrufanova,2.0,1,0.0,176,133,False,False,False
Srikari12,2.0,1,0.0,176,133,False,False,False
Tanmaykaturi,2.0,1,0.0,176,133,False,False,False
Zerohertz,2.0,1,0.0,176,133,False,False,False
aayushbaluni,2.0,1,0.0,176,133,False,False,False
alex-raw,2.0,2,0.0,176,133,False,False,False
amulyakh456,2.0,1,0.0,176,133,False,False,False
anton-ryzhov,2.0,1,0.0,176,133,False,False,False
bonastreyair,2.0,1,0.0,176,133,False,False,False
cleder,2.0,1,0.0,176,133,False,False,False
cluster2600,2.0,1,0.0,176,133,False,False,False
davidarmandosanchezcruz54-source,2.0,1,0.0,176,133,False,False,False
eyetheekh,2.0,1,0.0,176,133,False,False,False
fatemajannat9,2.0,1,0.0,176,133,False,False,False
fcharrier,2.0,1,0.0,176,133,False,False,False
fermanza,2.0,1,0.0,176,133,False,False,False
fluffy-dev,2.0,2,0.0,176,133,False,False,False
iamantonreznik,2.0,1,0.0,176,133,False,False,False
igoyak,2.0,1,0.0,176,133,False,False,False
iw4p,2.0,1,0.0,176,133,False,False,False
jaw997,2.0,1,0.0,176,133,False,False,False
jsibitoye,2.0,1,0.0,176,133,False,False,False
koladebashir,2.0,1,0.0,176,133,False,False,False
letmetry-oss,2.0,1,0.0,176,133,False,False,False
liby,2.0,1,0.0,176,133,False,False,False
lingotesoropuro-jpg,2.0,1,0.0,176,133,False,False,False
lkkmpn,2.0,1,0.0,176,133,False,False,False
mahimairaja,2.0,1,0.0,176,133,False,False,False
marcelomarkus,2.0,1,0.0,176,133,False,False,False
nicolasdespres,2.0,1,0.0,176,133,False,False,False
niveshpadamata1218,2.0,1,0.0,176,133,False,False,False
omnislash157,2.0,1,0.0,176,133,False,False,False
sushilk123,2.0,1,0.0,176,133,False,False,False
travellingsoldier85,2.0,1,0.0,176,133,False,False,False
uydev,2.0,1,0.0,176,133,False,False,False
varenoma,2.0,1,0.0,176,133,False,False,False
veeceey,2.0,2,0.0,176,133,False,False,False
vk496,2.0,1,0.0,176,133,False,False,False
whoisalyan,2.0,1,0.0,176,133,False,False,False
yezz123,2.0,1,0.0,176,133,False,False,False
youreadthis,2.0,1,0.0,176,133,False,False,False
003shrey,1.0,1,0.0,276,133,False,False,False
04cb,1.0,1,0.0,276,133,False,False,False
0xFazal,1.0,1,0.0,276,133,False,False,False
1cbyc,1.0,1,0.0,276,133,False,False,False
24f2001045-DS,1.0,1,0.0,276,133,False,False,False
Abdulnaser97,1.0,1,0.0,276,133,False,False,False
Adamowoc,1.0,1,0.0,276,133,False,False,False
AdarshBennur,1.0,1,0.0,276,133,False,False,False
Ads2024,1.0,1,0.0,276,133,False,False,False
AleksaMCode,1.0,1,0.0,276,133,False,False,False
AliSot2000,1.0,1,0.0,276,133,False,False,False
Amrito20,1.0,1,0.0,276,133,False,False,False
AnirudhArrepu,1.0,1,0.0,276,133,False,False,False
Antares0982,1.0,1,0.0,276,133,False,False,False
ArcLightSlavik,1.0,1,0.0,276,133,False,False,False
Aruelius,1.0,1,0.0,276,133,False,False,False
Ayu456sh,1.0,1,0.0,276,133,False,False,False
BharatShukla30,1.0,1,0.0,276,133,False,False,False
BharathiSen,1.0,1,0.0,276,133,False,False,False
BrunoTanabe,1.0,1,0.0,276,133,False,False,False
Cito,1.0,1,0.0,276,133,False,False,False
CrazyAnry,1.0,1,0.0,276,133,False,False,False
CuberQAQ,1.0,1,0.0,276,133,False,False,False
DHANUSHRAJA22,1.0,1,0.0,276,133,False,False,False
DanielYang59,1.0,1,0.0,276,133,False,False,False
Danstiv,1.0,1,0.0,276,133,False,False,False
Davis-3450,1.0,1,0.0,276,133,False,False,False
DilkhushYash,1.0,1,0.0,276,133,False,False,False
EFord36,1.0,1,0.0,276,133,False,False,False
Eminek-marz,1.0,1,0.0,276,133,False,False,False
ErickMoraL,1.0,1,0.0,276,133,False,False,False
Esubaalew,1.0,1,0.0,276,133,False,False,False
GeoSegun,1.0,1,0.0,276,133,False,False,False
GeoTsak314,1.0,1,0.0,276,133,False,False,False
Gopesh111,1.0,1,0.0,276,133,False,False,False
HamzaYslmn,1.0,1,0.0,276,133,False,False,False
Harshpatil0508,1.0,1,0.0,276,133,False,False,False
HenriBlacksmith,1.0,1,0.0,276,133,False,False,False
Holek,1.0,1,0.0,276,133,False,False,False
HoverHell,1.0,1,0.0,276,133,False,False,False
ImJuike,1.0,1,0.0,276,133,False,False,False
Kagney00,1.0,1,0.0,276,133,False,False,False
KarelRuzicka,1.0,1,0.0,276,133,False,False,False
KevynValladares21,1.0,1,0.0,276,133,False,False,False
Kimdowne,1.0,1,0.0,276,133,False,False,False
Kiran-Gowda-H-A,1.0,1,0.0,276,133,False,False,False
Krishneth,1.0,1,0.0,276,133,False,False,False
Lali182k5,1.0,1,0.0,276,133,False,False,False
MahdeeMushfiqueKamal,1.0,1,0.0,276,133,False,False,False
Maheedhar-rao,1.0,1,0.0,276,133,False,False,False
MarinPostma,1.0,1,0.0,276,133,False,False,False
MaxwellEnemuo,1.0,1,0.0,276,133,False,False,False
MikeiLL,1.0,1,0.0,276,133,False,False,False
Mohataseem89,1.0,1,0.0,276,133,False,False,False
NAM-MAN,1.0,1,0.0,276,133,False,False,False
NEFORCEO,1.0,1,0.0,276,133,False,False,False
Nicered,1.0,1,0.0,276,133,False,False,False
OscarMCV-SW,1.0,1,0.0,276,133,False,False,False
P-Muench,1.0,1,0.0,276,133,False,False,False
PRAJUN-V-ZILMONEY,1.0,1,0.0,276,133,False,False,False
Pavanmanikanta98,1.0,1,0.0,276,133,False,False,False
Pentusha,1.0,1,0.0,276,133,False,False,False
Profianton,1.0,1,0.0,276,133,False,False,False
Rishat-F,1.0,1,0.0,276,133,False,False,False
Rohit27305,1.0,1,0.0,276,133,False,False,False
SMdipu10,1.0,1,0.0,276,133,False,False,False
Shihasz,1.0,1,0.0,276,133,False,False,False
Sufyan-Ali,1.0,1,0.0,276,133,False,False,False
TahmidMuntaser,1.0,1,0.0,276,133,False,False,False
Takrim-ScrubAI,1.0,1,0.0,276,133,False,False,False
TheCaffinatedDeveloper,1.0,1,0.0,276,133,False,False,False
TheoPascoli,1.0,1,0.0,276,133,False,False,False
Tishka17,1.0,1,0.0,276,133,False,False,False
VashuTheGreat,1.0,1,0.0,276,133,False,False,False
Vishnuuuu24,1.0,1,0.0,276,133,False,False,False
Walancy,1.0,1,0.0,276,133,False,False,False
WestinJiang,1.0,1,0.0,276,133,False,False,False
YashGupta404,1.0,1,0.0,276,133,False,False,False
Yume05-dev,1.0,1,0.0,276,133,False,False,False
Yurzs,1.0,1,0.0,276,133,False,False,False
ZadenYip,1.0,1,0.0,276,133,False,False,False
a-babarytskyi,1.0,1,0.0,276,133,False,False,False
abhinav1098,1.0,1,0.0,276,133,False,False,False
aghabidareh,1.0,1,0.0,276,133,False,False,False
agonzalezjr327,1.0,1,0.0,276,133,False,False,False
alaminopu,1.0,1,0.0,276,133,False,False,False
albakore,1.0,1,0.0,276,133,False,False,False
aleksul,1.0,1,0.0,276,133,False,False,False
amirroox,1.0,1,0.0,276,133,False,False,False
amishikaushal,1.0,1,0.0,276,133,False,False,False
andersonrocha0,1.0,1,0.0,276,133,False,False,False
andrii-kysylevskyi,1.0,1,0.0,276,133,False,False,False
anfreshman,1.0,1,0.0,276,133,False,False,False
angryfoxx,1.0,1,0.0,276,133,False,False,False
antbz,1.0,1,0.0,276,133,False,False,False
arpithpm,1.0,1,0.0,276,133,False,False,False
ashb,1.0,1,0.0,276,133,False,False,False
ashyls,1.0,1,0.0,276,133,False,False,False
bforma,1.0,1,0.0,276,133,False,False,False
bidfox,1.0,1,0.0,276,133,False,False,False
bjmc,1.0,1,0.0,276,133,False,False,False
cgilviadee,1.0,1,0.0,276,133,False,False,False
champ-sk,1.0,1,0.0,276,133,False,False,False
chatgpt-codex-connector,1.0,1,0.0,276,133,False,False,False
choi-haram,1.0,1,0.0,276,133,False,False,False
clefeu,1.0,1,0.0,276,133,False,False,False
clytaemnestra,1.0,1,0.0,276,133,False,False,False
coderliu,1.0,1,0.0,276,133,False,False,False
coltonevansid,1.0,1,0.0,276,133,False,False,False
crummyh,1.0,1,0.0,276,133,False,False,False
cureprotocols,1.0,1,0.0,276,133,False,False,False
dagecko,1.0,1,0.0,276,133,False,False,False
david-fong,1.0,1,0.0,276,133,False,False,False
dbejo,1.0,1,0.0,276,133,False,False,False
deadlovelll,1.0,1,0.0,276,133,False,False,False
dev4all,1.0,1,0.0,276,133,False,False,False
dezh1110,1.0,1,0.0,276,133,False,False,False
dheekshae,1.0,1,0.0,276,133,False,False,False
dipenpadhiyar,1.0,1,0.0,276,133,False,False,False
epaes90,1.0,1,0.0,276,133,False,False,False
ethicalzeus07,1.0,1,0.0,276,133,False,False,False
ezeparziale,1.0,1,0.0,276,133,False,False,False
falkoschindler,1.0,1,0.0,276,133,False,False,False
farzbood,1.0,1,0.0,276,133,False,False,False
fcarvajalbrown,1.0,1,0.0,276,133,False,False,False
fitratgulmamadov,1.0,1,0.0,276,133,False,False,False
florentdrousset,1.0,1,0.0,276,133,False,False,False
frafra,1.0,1,0.0,276,133,False,False,False
garagon,1.0,1,0.0,276,133,False,False,False
gaurav101203,1.0,1,0.0,276,133,False,False,False
gengbo123456,1.0,1,0.0,276,133,False,False,False
gilesperiencia-del,1.0,1,0.0,276,133,False,False,False
gitgernit,1.0,1,0.0,276,133,False,False,False
gsheni,1.0,1,0.0,276,133,False,False,False
guspan-tanadi,1.0,1,0.0,276,133,False,False,False
hnshah,1.0,1,0.0,276,133,False,False,False
hozn,1.0,1,0.0,276,133,False,False,False
indayush,1.0,1,0.0,276,133,False,False,False
istrebitel-1,1.0,1,0.0,276,133,False,False,False
itssimon,1.0,1,0.0,276,133,False,False,False
ivanmilevtues,1.0,1,0.0,276,133,False,False,False
jamisiveshkumar,1.0,1,0.0,276,133,False,False,False
jerry-reevo,1.0,1,0.0,276,133,False,False,False
jingyugao,1.0,1,0.0,276,133,False,False,False
jkugler,1.0,1,0.0,276,133,False,False,False
jogo-openai,1.0,1,0.0,276,133,False,False,False
joselu103,1.0,1,0.0,276,133,False,False,False
kchang50204,1.0,1,0.0,276,133,False,False,False
kumaranvpl,1.0,1,0.0,276,133,False,False,False
lonelyH3b,1.0,1,0.0,276,133,False,False,False
lyushher,1.0,1,0.0,276,133,False,False,False
majiayu000,1.0,1,0.0,276,133,False,False,False
maksimzayats,1.0,1,0.0,276,133,False,False,False
martyndavies,1.0,1,0.0,276,133,False,False,False
mazulo,1.0,1,0.0,276,133,False,False,False
milan-jethva,1.0,1,0.0,276,133,False,False,False
mintuhouse,1.0,1,0.0,276,133,False,False,False
mkbhanda,1.0,1,0.0,276,133,False,False,False
mortezave,1.0,1,0.0,276,133,False,False,False
mrcghil,1.0,1,0.0,276,133,False,False,False
mwildehahn,1.0,1,0.0,276,133,False,False,False
mynewestgitaccount,1.0,1,0.0,276,133,False,False,False
nancywang-cwru,1.0,1,0.0,276,133,False,False,False
naveencreation,1.0,1,0.0,276,133,False,False,False
nikmaxott,1.0,1,0.0,276,133,False,False,False
nilerbarcelos,1.0,1,0.0,276,133,False,False,False
niral04,1.0,1,0.0,276,133,False,False,False
nomanstine,1.0,1,0.0,276,133,False,False,False
nsoranzo,1.0,1,0.0,276,133,False,False,False
odiseo0,1.0,1,0.0,276,133,False,False,False
pallaprolus,1.0,1,0.0,276,133,False,False,False
paras-verma7454,1.0,1,0.0,276,133,False,False,False
peteroyce,1.0,1,0.0,276,133,False,False,False
pierrejeambrun,1.0,1,0.0,276,133,False,False,False
pmsmanishchauhan,1.0,1,0.0,276,133,False,False,False
pperliti,1.0,1,0.0,276,133,False,False,False
praffq,1.0,1,0.0,276,133,False,False,False
prasanthkumarch26,1.0,1,0.0,276,133,False,False,False
prerna-pramod-gh,1.0,1,0.0,276,133,False,False,False
pressogh,1.0,1,0.0,276,133,False,False,False
pythonweb2,1.0,1,0.0,276,133,False,False,False
ragnarok22,1.0,1,0.0,276,133,False,False,False
