source,target,weight
stg609,YuriiMotov,1
stickm4n,cstruct,2
svlandeg,Abdulnaser97,1
svlandeg,AditSoni,1
svlandeg,AhsanSheraz,1
svlandeg,AnshMNSoni,1
svlandeg,Anya299,1
svlandeg,EFord36,1
svlandeg,GeroZayas,1
svlandeg,HUDA-GIF,1
svlandeg,Lob26,1
svlandeg,Rohan5commit,1
svlandeg,SadManFahIm,1
svlandeg,SaisakthiM,6
svlandeg,SanjanaS10,1
svlandeg,Shaptain,1
svlandeg,Taoup,1
svlandeg,YuriiMotov,20
svlandeg,abhishekbiswas772,3
svlandeg,airchitect-ai,1
svlandeg,arpithpm,1
svlandeg,bokshitsky,1
svlandeg,bysiber,1
svlandeg,chailandau,1
svlandeg,cjwatson,9
svlandeg,dbejo,1
svlandeg,dennybiasiolli,5
svlandeg,dependabot,10
svlandeg,diegoromerodev,2
svlandeg,dikos1337,4
svlandeg,doganarif,1
svlandeg,dynamicy,5
svlandeg,hemanth-thirthahalli,2
svlandeg,indayush,1
svlandeg,ishansurdi,1
svlandeg,johnson-earls,1
svlandeg,kumarvishwajeettrivedi,1
svlandeg,lyushher,1
svlandeg,maksimzayats,1
svlandeg,mlb-,1
svlandeg,musicinmybrain,2
svlandeg,nilslindemann,1
svlandeg,p-r-a-v-i-n,1
svlandeg,patrick91,3
svlandeg,pre-commit-ci,2
svlandeg,ragnarok22,1
svlandeg,rahulpandey535,1
svlandeg,saky-semicolon,1
svlandeg,saltnepperson,1
svlandeg,sangsaist,1
svlandeg,sayantanmandal1,1
svlandeg,shyam-ramani,1
svlandeg,sujin502,1
svlandeg,swastikpradhan1999,1
svlandeg,tImIhAcK,1
svlandeg,tiangolo,3
svlandeg,timonrieger,1
svlandeg,uriyyo,1
syedasamina56,sajjadrahman56,4
themojtabajaveed,Dawaman43,1
tiangolo,Amogha-ark,1
tiangolo,Ashish-Pandey62,1
tiangolo,Biaslan-git,1
tiangolo,DEENUU1,1
tiangolo,DHANUSHRAJA22,1
