source,target,weight
njsbhu,patrick91,1
njsbhu,tiangolo,3
nomanstine,SakibSibly,2
nsoranzo,stickm4n,1
odiseo0,jeannin,1
ollie-bell,musicinmybrain,2
patrick91,tiangolo,2
pierrejeambrun,tiangolo,1
pmsmanishchauhan,tiangolo,1
potiuk,johnslavik,9
potiuk,tiangolo,11
pperliti,tiangolo,1
pythonweb2,yogishhg9964,1
rauchg,leerob,1
remimd,tiangolo,3
rensoostenbachBL,YuriiMotov,1
rhealakhotia,Lob26,1
roli2py,AhsanSheraz,2
roli2py,Rayyan-Oumlil,2
roli2py,tiangolo,19
saky-semicolon,SaisakthiM,4
schneebuzz,YuriiMotov,4
schneebuzz,emmanuel-ferdman,6
seuthootDev,YuriiMotov,6
simone-trubian,FlaviusRaducu,7
simone-trubian,YuriiMotov,1
sneakers-the-rat,HUDA-GIF,2
sneakers-the-rat,YuriiMotov,4
sneakers-the-rat,edwdev-oficial,2
sodaMelon,gayuna,2
sodaMelon,sungchan1,27
sodaMelon,tiangolo,4
stg609,YuriiMotov,1
stickm4n,cstruct,3
svlandeg,Abdulnaser97,1
svlandeg,AditSoni,1
svlandeg,AhsanSheraz,2
svlandeg,AnshMNSoni,1
svlandeg,Anya299,2
svlandeg,EFord36,2
svlandeg,GeroZayas,2
svlandeg,HUDA-GIF,1
svlandeg,Lob26,2
svlandeg,Rohan5commit,2
svlandeg,SadManFahIm,2
svlandeg,SaisakthiM,10
svlandeg,SanjanaS10,2
svlandeg,Shaptain,2
svlandeg,Taoup,2
svlandeg,YuriiMotov,38
svlandeg,abhishekbiswas772,3
svlandeg,airchitect-ai,2
svlandeg,arpithpm,1
svlandeg,bokshitsky,1
svlandeg,bysiber,2
svlandeg,chailandau,2
svlandeg,cjwatson,14
svlandeg,dbejo,2
svlandeg,dennybiasiolli,9
svlandeg,diegoromerodev,2
svlandeg,dikos1337,6
svlandeg,doganarif,1
svlandeg,dynamicy,8
svlandeg,hemanth-thirthahalli,3
svlandeg,indayush,2
svlandeg,ishansurdi,2
svlandeg,johnson-earls,2
svlandeg,kumarvishwajeettrivedi,1
svlandeg,lyushher,2
svlandeg,maksimzayats,1
svlandeg,mlb-,1
svlandeg,musicinmybrain,4
svlandeg,nilslindemann,2
svlandeg,p-r-a-v-i-n,2
svlandeg,patrick91,4
svlandeg,ragnarok22,2
svlandeg,rahulpandey535,1
svlandeg,saky-semicolon,2
svlandeg,saltnepperson,2
svlandeg,sangsaist,2
svlandeg,sayantanmandal1,1
svlandeg,shyam-ramani,2
svlandeg,sujin502,1
svlandeg,swastikpradhan1999,2
svlandeg,tImIhAcK,2
svlandeg,tiangolo,6
svlandeg,timonrieger,2
svlandeg,uriyyo,1
syedasamina56,sajjadrahman56,6
themojtabajaveed,Dawaman43,1
tiangolo,Amogha-ark,2
tiangolo,Ashish-Pandey62,2
tiangolo,Biaslan-git,1
tiangolo,DEENUU1,1
tiangolo,DHANUSHRAJA22,1
tiangolo,DJMcoder,3
tiangolo,Dawaman43,2
tiangolo,DivInstance,1
tiangolo,DoctorJohn,2
tiangolo,EgorOnishchuk,1
tiangolo,EnamSingh,1
tiangolo,EstebanDalelR,1
tiangolo,FlaviusRaducu,2
tiangolo,Flosckow,1
tiangolo,GeoTsak314,1
tiangolo,GeroZayas,1
tiangolo,HoverHell,1
tiangolo,JP-Ellis,1
tiangolo,JavierSanchezCastro,2
tiangolo,Joab0,2
tiangolo,Just-Helpful,2
tiangolo,Kadermiyanyedi,2
tiangolo,Kludex,2
tiangolo,LucaPaterlini,1
tiangolo,Neizvestnyj,2
tiangolo,Priyanshjain10,1
tiangolo,SaisakthiM,3
tiangolo,Shaptain,1
tiangolo,Taoup,2
tiangolo,VectorSophie,1
tiangolo,Viicos,2
tiangolo,Vivansh27,1
tiangolo,WaveTheory1,2
tiangolo,WrldEngine,1
tiangolo,YASWANTH1976,1
tiangolo,YuriiMotov,143
tiangolo,adamobrien-dev,1
tiangolo,aghabidareh,1
tiangolo,alejsdev,10
tiangolo,aleksul,1
tiangolo,andrii-kysylevskyi,1
tiangolo,apotterri,1
tiangolo,arun-geek,1
